lead_id,channel,device,region,campaign,age_group,visit_date,time_on_site_sec,pages_viewed,ad_spend,funnel_stage,converted,revenue,month,month_name
29,Social Media,Mobile,East,Product Launch,45-54,2024-01-03 08:00:00,765,6,8.14,Bounced,0,0.0,1,Jan
30,Organic Search,Desktop,East,Brand Awareness,35-44,2024-01-03 10:00:00,327,12,8.71,Converted,1,99.0,1,Jan
31,Social Media,Desktop,East,Seasonal Offer,18-24,2024-01-03 12:00:00,81,1,3.06,Checkout,0,0.0,1,Jan
32,Organic Search,Mobile,West,Product Launch,55+,2024-01-03 14:00:00,762,14,7.73,Awareness,0,0.0,1,Jan
33,Organic Search,Mobile,South,Brand Awareness,35-44,2024-01-03 16:00:00,333,4,13.81,Bounced,0,0.0,1,Jan
34,Referral,Mobile,West,Product Launch,45-54,2024-01-03 18:00:00,317,3,8.6,Awareness,0,0.0,1,Jan
35,Direct,Desktop,South,Lead Gen,18-24,2024-01-03 20:00:00,693,7,4.2,Awareness,0,0.0,1,Jan
36,Email,Desktop,North,Retargeting,35-44,2024-01-03 22:00:00,147,7,0.95,Product View,0,0.0,1,Jan
37,Paid Search,Mobile,North,Product Launch,35-44,2024-01-04 00:00:00,453,6,5.38,Bounced,0,0.0,1,Jan
38,Organic Search,Tablet,South,Seasonal Offer,35-44,2024-01-04 02:00:00,820,14,8.8,Bounced,0,0.0,1,Jan
39,Social Media,Mobile,South,Product Launch,35-44,2024-01-04 04:00:00,676,10,1.12,Awareness,0,0.0,1,Jan
40,Paid Search,Tablet,South,Product Launch,45-54,2024-01-04 06:00:00,238,14,9.34,Product View,0,0.0,1,Jan
41,Organic Search,Mobile,South,Product Launch,25-34,2024-01-04 08:00:00,156,10,8.09,Bounced,0,0.0,1,Jan
42,Paid Search,Mobile,East,Product Launch,45-54,2024-01-04 10:00:00,322,12,11.86,Bounced,0,0.0,1,Jan
43,Organic Search,Desktop,West,Seasonal Offer,25-34,2024-01-04 12:00:00,548,8,0.92,Converted,1,49.0,1,Jan
44,Referral,Mobile,East,Seasonal Offer,25-34,2024-01-04 14:00:00,251,7,11.82,Product View,0,0.0,1,Jan
45,Organic Search,Mobile,West,Product Launch,18-24,2024-01-04 16:00:00,106,4,8.05,Bounced,0,0.0,1,Jan
46,Social Media,Mobile,West,Retargeting,25-34,2024-01-04 18:00:00,367,7,5.87,Awareness,0,0.0,1,Jan
47,Paid Search,Desktop,West,Product Launch,25-34,2024-01-04 20:00:00,892,1,14.5,Product View,0,0.0,1,Jan
48,Social Media,Mobile,East,Seasonal Offer,45-54,2024-01-04 22:00:00,819,3,2.82,Bounced,0,0.0,1,Jan
49,Social Media,Desktop,South,Lead Gen,35-44,2024-01-05 00:00:00,875,2,8.35,Product View,0,0.0,1,Jan
50,Organic Search,Mobile,East,Product Launch,25-34,2024-01-05 02:00:00,879,7,5.15,Checkout,0,0.0,1,Jan
51,Direct,Desktop,East,Product Launch,35-44,2024-01-05 04:00:00,768,9,8.15,Bounced,0,0.0,1,Jan
52,Email,Mobile,West,Product Launch,18-24,2024-01-05 06:00:00,304,5,8.51,Product View,0,0.0,1,Jan
53,Referral,Desktop,North,Product Launch,25-34,2024-01-05 08:00:00,892,9,1.8,Bounced,0,0.0,1,Jan
54,Referral,Desktop,North,Brand Awareness,35-44,2024-01-05 10:00:00,836,12,10.09,Bounced,0,0.0,1,Jan
55,Social Media,Desktop,East,Product Launch,35-44,2024-01-05 12:00:00,146,13,9.7,Bounced,0,0.0,1,Jan
56,Referral,Mobile,West,Seasonal Offer,45-54,2024-01-05 14:00:00,321,8,11.66,Bounced,0,0.0,1,Jan
57,Organic Search,Desktop,East,Seasonal Offer,25-34,2024-01-05 16:00:00,300,1,1.81,Checkout,0,0.0,1,Jan
58,Organic Search,Desktop,East,Brand Awareness,35-44,2024-01-05 18:00:00,476,14,4.81,Awareness,0,0.0,1,Jan
59,Organic Search,Mobile,South,Product Launch,35-44,2024-01-05 20:00:00,186,11,9.93,Awareness,0,0.0,1,Jan
60,Paid Search,Desktop,West,Retargeting,55+,2024-01-05 22:00:00,601,2,2.48,Awareness,0,0.0,1,Jan
61,Paid Search,Tablet,North,Product Launch,25-34,2024-01-06 00:00:00,213,6,10.33,Converted,1,99.0,1,Jan
62,Organic Search,Tablet,North,Seasonal Offer,35-44,2024-01-06 02:00:00,453,5,1.36,Checkout,0,0.0,1,Jan
63,Email,Mobile,North,Lead Gen,35-44,2024-01-06 04:00:00,685,11,5.36,Converted,1,99.0,1,Jan
64,Paid Search,Desktop,East,Lead Gen,55+,2024-01-06 06:00:00,702,7,12.78,Awareness,0,0.0,1,Jan
65,Organic Search,Mobile,West,Retargeting,25-34,2024-01-06 08:00:00,630,9,11.73,Bounced,0,0.0,1,Jan
66,Social Media,Desktop,South,Product Launch,35-44,2024-01-06 10:00:00,45,14,9.85,Bounced,0,0.0,1,Jan
67,Organic Search,Desktop,North,Brand Awareness,25-34,2024-01-06 12:00:00,790,4,13.12,Checkout,0,0.0,1,Jan
68,Email,Desktop,West,Product Launch,35-44,2024-01-06 14:00:00,127,8,10.78,Checkout,0,0.0,1,Jan
69,Organic Search,Tablet,North,Retargeting,25-34,2024-01-06 16:00:00,645,4,8.03,Converted,1,149.0,1,Jan
70,Direct,Desktop,South,Retargeting,18-24,2024-01-06 18:00:00,329,3,14.71,Checkout,0,0.0,1,Jan
71,Email,Mobile,West,Retargeting,35-44,2024-01-06 20:00:00,776,12,10.58,Bounced,0,0.0,1,Jan
72,Organic Search,Mobile,East,Lead Gen,25-34,2024-01-06 22:00:00,451,2,9.22,Bounced,0,0.0,1,Jan
73,Organic Search,Desktop,East,Product Launch,25-34,2024-01-07 00:00:00,336,8,6.43,Checkout,0,0.0,1,Jan
74,Email,Desktop,North,Product Launch,25-34,2024-01-07 02:00:00,303,11,13.58,Converted,1,149.0,1,Jan
75,Social Media,Tablet,North,Brand Awareness,18-24,2024-01-07 04:00:00,290,8,4.79,Product View,0,0.0,1,Jan
76,Email,Mobile,West,Retargeting,55+,2024-01-07 06:00:00,268,11,0.63,Checkout,0,0.0,1,Jan
77,Email,Mobile,South,Retargeting,35-44,2024-01-07 08:00:00,803,12,3.35,Bounced,0,0.0,1,Jan
78,Organic Search,Desktop,North,Seasonal Offer,45-54,2024-01-07 10:00:00,361,3,2.09,Awareness,0,0.0,1,Jan
79,Paid Search,Desktop,West,Seasonal Offer,25-34,2024-01-07 12:00:00,144,1,5.13,Bounced,0,0.0,1,Jan
80,Organic Search,Desktop,South,Lead Gen,55+,2024-01-07 14:00:00,297,13,12.48,Awareness,0,0.0,1,Jan
81,Referral,Desktop,North,Product Launch,25-34,2024-01-07 16:00:00,41,6,9.95,Converted,1,149.0,1,Jan
82,Social Media,Desktop,North,Brand Awareness,35-44,2024-01-07 18:00:00,102,5,2.95,Product View,0,0.0,1,Jan
83,Paid Search,Mobile,West,Brand Awareness,25-34,2024-01-07 20:00:00,435,8,11.94,Converted,1,49.0,1,Jan
84,Organic Search,Desktop,North,Retargeting,35-44,2024-01-07 22:00:00,846,6,7.81,Bounced,0,0.0,1,Jan
85,Paid Search,Desktop,East,Brand Awareness,35-44,2024-01-08 00:00:00,207,4,7.93,Bounced,0,0.0,1,Jan
86,Paid Search,Mobile,South,Retargeting,25-34,2024-01-08 02:00:00,801,10,5.75,Bounced,0,0.0,1,Jan
87,Email,Mobile,South,Product Launch,18-24,2024-01-08 04:00:00,288,10,13.04,Converted,1,499.0,1,Jan
88,Social Media,Desktop,East,Brand Awareness,35-44,2024-01-08 06:00:00,429,12,5.12,Bounced,0,0.0,1,Jan
89,Referral,Mobile,West,Retargeting,25-34,2024-01-08 08:00:00,299,12,1.87,Converted,1,99.0,1,Jan
90,Paid Search,Desktop,East,Product Launch,18-24,2024-01-08 10:00:00,861,11,4.89,Converted,1,49.0,1,Jan
91,Organic Search,Desktop,East,Product Launch,25-34,2024-01-08 12:00:00,661,2,10.87,Product View,0,0.0,1,Jan
92,Social Media,Desktop,South,Retargeting,35-44,2024-01-08 14:00:00,710,8,10.03,Awareness,0,0.0,1,Jan
93,Email,Mobile,West,Retargeting,45-54,2024-01-08 16:00:00,515,5,3.23,Bounced,0,0.0,1,Jan
94,Social Media,Desktop,North,Lead Gen,18-24,2024-01-08 18:00:00,609,12,2.12,Bounced,0,0.0,1,Jan
95,Email,Desktop,East,Product Launch,25-34,2024-01-08 20:00:00,88,8,10.08,Converted,1,99.0,1,Jan
96,Paid Search,Desktop,East,Retargeting,45-54,2024-01-08 22:00:00,671,5,10.31,Checkout,0,0.0,1,Jan
97,Social Media,Mobile,West,Product Launch,35-44,2024-01-09 00:00:00,295,6,5.81,Product View,0,0.0,1,Jan
98,Paid Search,Desktop,East,Brand Awareness,25-34,2024-01-09 02:00:00,104,13,12.72,Converted,1,149.0,1,Jan
99,Organic Search,Desktop,West,Seasonal Offer,45-54,2024-01-09 04:00:00,119,10,14.68,Checkout,0,0.0,1,Jan
100,Organic Search,Desktop,North,Seasonal Offer,25-34,2024-01-09 06:00:00,534,14,3.48,Bounced,0,0.0,1,Jan
101,Organic Search,Desktop,West,Retargeting,25-34,2024-01-09 08:00:00,386,5,8.87,Checkout,0,0.0,1,Jan
102,Social Media,Mobile,North,Retargeting,55+,2024-01-09 10:00:00,183,11,0.58,Bounced,0,0.0,1,Jan
103,Paid Search,Mobile,West,Product Launch,55+,2024-01-09 12:00:00,247,3,10.84,Product View,0,0.0,1,Jan
104,Paid Search,Desktop,East,Retargeting,25-34,2024-01-09 14:00:00,515,10,6.51,Product View,0,0.0,1,Jan
105,Referral,Desktop,North,Product Launch,18-24,2024-01-09 16:00:00,569,8,3.3,Checkout,0,0.0,1,Jan
106,Organic Search,Desktop,East,Retargeting,25-34,2024-01-09 18:00:00,159,3,11.41,Awareness,0,0.0,1,Jan
107,Paid Search,Desktop,North,Product Launch,18-24,2024-01-09 20:00:00,95,4,12.25,Awareness,0,0.0,1,Jan
108,Email,Desktop,West,Retargeting,18-24,2024-01-09 22:00:00,173,6,2.11,Converted,1,49.0,1,Jan
109,Organic Search,Mobile,West,Lead Gen,25-34,2024-01-10 00:00:00,409,2,1.09,Bounced,0,0.0,1,Jan
110,Organic Search,Tablet,West,Product Launch,55+,2024-01-10 02:00:00,342,14,5.34,Converted,1,49.0,1,Jan
111,Organic Search,Tablet,South,Lead Gen,45-54,2024-01-10 04:00:00,436,7,9.58,Bounced,0,0.0,1,Jan
112,Organic Search,Mobile,South,Lead Gen,35-44,2024-01-10 06:00:00,436,5,12.0,Converted,1,249.0,1,Jan
113,Referral,Mobile,North,Lead Gen,35-44,2024-01-10 08:00:00,306,12,8.42,Bounced,0,0.0,1,Jan
114,Email,Mobile,South,Lead Gen,18-24,2024-01-10 10:00:00,644,10,8.92,Product View,0,0.0,1,Jan
115,Social Media,Desktop,West,Brand Awareness,25-34,2024-01-10 12:00:00,438,13,12.1,Awareness,0,0.0,1,Jan
116,Referral,Mobile,South,Seasonal Offer,18-24,2024-01-10 14:00:00,343,5,8.17,Converted,1,99.0,1,Jan
117,Email,Desktop,South,Brand Awareness,45-54,2024-01-10 16:00:00,578,5,9.36,Converted,1,99.0,1,Jan
118,Organic Search,Desktop,East,Retargeting,18-24,2024-01-10 18:00:00,278,13,7.99,Bounced,0,0.0,1,Jan
119,Referral,Mobile,North,Retargeting,45-54,2024-01-10 20:00:00,490,13,13.27,Bounced,0,0.0,1,Jan
120,Social Media,Desktop,North,Seasonal Offer,35-44,2024-01-10 22:00:00,428,2,3.91,Awareness,0,0.0,1,Jan
121,Email,Desktop,North,Seasonal Offer,25-34,2024-01-11 00:00:00,697,11,4.33,Checkout,0,0.0,1,Jan
122,Referral,Tablet,South,Seasonal Offer,25-34,2024-01-11 02:00:00,480,13,2.36,Converted,1,249.0,1,Jan
123,Paid Search,Desktop,West,Lead Gen,35-44,2024-01-11 04:00:00,500,12,12.38,Bounced,0,0.0,1,Jan
124,Organic Search,Desktop,East,Brand Awareness,55+,2024-01-11 06:00:00,673,10,6.47,Checkout,0,0.0,1,Jan
125,Organic Search,Tablet,North,Retargeting,35-44,2024-01-11 08:00:00,588,9,5.54,Converted,1,49.0,1,Jan
126,Paid Search,Mobile,South,Brand Awareness,25-34,2024-01-11 10:00:00,463,3,14.73,Awareness,0,0.0,1,Jan
127,Email,Mobile,West,Brand Awareness,35-44,2024-01-11 12:00:00,475,12,13.94,Product View,0,0.0,1,Jan
128,Referral,Desktop,East,Brand Awareness,25-34,2024-01-11 14:00:00,736,7,14.59,Converted,1,149.0,1,Jan
129,Organic Search,Desktop,East,Seasonal Offer,55+,2024-01-11 16:00:00,132,5,2.56,Converted,1,99.0,1,Jan
130,Paid Search,Mobile,North,Seasonal Offer,35-44,2024-01-11 18:00:00,357,10,13.42,Bounced,0,0.0,1,Jan
131,Paid Search,Mobile,North,Retargeting,35-44,2024-01-11 20:00:00,712,10,5.27,Converted,1,49.0,1,Jan
132,Organic Search,Mobile,West,Retargeting,25-34,2024-01-11 22:00:00,630,5,0.68,Bounced,0,0.0,1,Jan
133,Organic Search,Desktop,South,Retargeting,35-44,2024-01-12 00:00:00,275,4,6.17,Checkout,0,0.0,1,Jan
134,Paid Search,Desktop,West,Brand Awareness,25-34,2024-01-12 02:00:00,87,10,7.88,Converted,1,49.0,1,Jan
135,Referral,Tablet,North,Seasonal Offer,18-24,2024-01-12 04:00:00,134,6,2.07,Bounced,0,0.0,1,Jan
136,Paid Search,Desktop,West,Lead Gen,25-34,2024-01-12 06:00:00,721,7,8.3,Awareness,0,0.0,1,Jan
137,Paid Search,Mobile,South,Brand Awareness,55+,2024-01-12 08:00:00,98,7,12.38,Checkout,0,0.0,1,Jan
138,Social Media,Desktop,East,Product Launch,35-44,2024-01-12 10:00:00,331,11,5.98,Awareness,0,0.0,1,Jan
139,Paid Search,Mobile,East,Brand Awareness,18-24,2024-01-12 12:00:00,182,12,5.61,Converted,1,149.0,1,Jan
140,Direct,Tablet,East,Seasonal Offer,45-54,2024-01-12 14:00:00,566,8,5.41,Awareness,0,0.0,1,Jan
141,Direct,Mobile,East,Product Launch,25-34,2024-01-12 16:00:00,64,5,13.88,Checkout,0,0.0,1,Jan
142,Organic Search,Desktop,North,Brand Awareness,25-34,2024-01-12 18:00:00,44,7,1.21,Awareness,0,0.0,1,Jan
143,Paid Search,Mobile,North,Seasonal Offer,25-34,2024-01-12 20:00:00,135,12,6.95,Awareness,0,0.0,1,Jan
144,Paid Search,Mobile,South,Seasonal Offer,35-44,2024-01-12 22:00:00,759,14,4.34,Awareness,0,0.0,1,Jan
145,Organic Search,Desktop,South,Lead Gen,35-44,2024-01-13 00:00:00,103,4,13.46,Bounced,0,0.0,1,Jan
146,Organic Search,Mobile,South,Brand Awareness,25-34,2024-01-13 02:00:00,885,9,1.89,Awareness,0,0.0,1,Jan
147,Social Media,Mobile,South,Seasonal Offer,35-44,2024-01-13 04:00:00,314,5,6.47,Awareness,0,0.0,1,Jan
148,Paid Search,Mobile,West,Retargeting,25-34,2024-01-13 06:00:00,579,3,6.4,Product View,0,0.0,1,Jan
149,Organic Search,Mobile,South,Seasonal Offer,45-54,2024-01-13 08:00:00,226,5,13.38,Converted,1,49.0,1,Jan
150,Organic Search,Desktop,East,Lead Gen,25-34,2024-01-13 10:00:00,309,9,3.62,Bounced,0,0.0,1,Jan
151,Referral,Desktop,East,Seasonal Offer,45-54,2024-01-13 12:00:00,816,13,9.85,Bounced,0,0.0,1,Jan
152,Organic Search,Desktop,East,Brand Awareness,35-44,2024-01-13 14:00:00,715,13,2.45,Checkout,0,0.0,1,Jan
153,Organic Search,Tablet,West,Brand Awareness,35-44,2024-01-13 16:00:00,846,11,14.33,Bounced,0,0.0,1,Jan
154,Paid Search,Mobile,South,Product Launch,25-34,2024-01-13 18:00:00,585,8,9.1,Awareness,0,0.0,1,Jan
155,Direct,Mobile,East,Brand Awareness,35-44,2024-01-13 20:00:00,695,1,9.58,Product View,0,0.0,1,Jan
156,Organic Search,Desktop,East,Product Launch,18-24,2024-01-13 22:00:00,182,5,6.79,Converted,1,149.0,1,Jan
157,Social Media,Desktop,East,Retargeting,45-54,2024-01-14 00:00:00,320,6,5.46,Awareness,0,0.0,1,Jan
158,Email,Mobile,East,Lead Gen,18-24,2024-01-14 02:00:00,171,13,3.58,Product View,0,0.0,1,Jan
159,Organic Search,Desktop,North,Retargeting,18-24,2024-01-14 04:00:00,797,10,9.26,Converted,1,499.0,1,Jan
160,Email,Desktop,South,Product Launch,35-44,2024-01-14 06:00:00,341,13,14.34,Checkout,0,0.0,1,Jan
161,Paid Search,Mobile,South,Seasonal Offer,35-44,2024-01-14 08:00:00,675,11,5.72,Bounced,0,0.0,1,Jan
162,Social Media,Desktop,West,Seasonal Offer,18-24,2024-01-14 10:00:00,61,2,13.31,Bounced,0,0.0,1,Jan
163,Social Media,Desktop,North,Retargeting,55+,2024-01-14 12:00:00,55,14,2.66,Awareness,0,0.0,1,Jan
164,Social Media,Desktop,West,Seasonal Offer,55+,2024-01-14 14:00:00,284,6,14.07,Awareness,0,0.0,1,Jan
165,Organic Search,Desktop,East,Product Launch,35-44,2024-01-14 16:00:00,764,14,5.58,Converted,1,149.0,1,Jan
166,Email,Tablet,West,Lead Gen,25-34,2024-01-14 18:00:00,85,9,6.01,Bounced,0,0.0,1,Jan
167,Paid Search,Desktop,East,Brand Awareness,35-44,2024-01-14 20:00:00,322,14,7.21,Bounced,0,0.0,1,Jan
168,Organic Search,Desktop,East,Product Launch,25-34,2024-01-14 22:00:00,666,4,10.91,Awareness,0,0.0,1,Jan
169,Organic Search,Desktop,South,Product Launch,25-34,2024-01-15 00:00:00,259,3,10.93,Converted,1,99.0,1,Jan
170,Social Media,Mobile,South,Brand Awareness,55+,2024-01-15 02:00:00,82,9,7.45,Checkout,0,0.0,1,Jan
171,Social Media,Desktop,South,Brand Awareness,55+,2024-01-15 04:00:00,130,2,8.09,Checkout,0,0.0,1,Jan
172,Organic Search,Mobile,South,Lead Gen,55+,2024-01-15 06:00:00,496,12,0.94,Product View,0,0.0,1,Jan
173,Paid Search,Desktop,South,Lead Gen,25-34,2024-01-15 08:00:00,875,9,4.91,Checkout,0,0.0,1,Jan
174,Organic Search,Desktop,North,Lead Gen,25-34,2024-01-15 10:00:00,833,11,5.52,Awareness,0,0.0,1,Jan
175,Social Media,Desktop,South,Seasonal Offer,25-34,2024-01-15 12:00:00,898,10,8.6,Awareness,0,0.0,1,Jan
176,Organic Search,Mobile,West,Product Launch,25-34,2024-01-15 14:00:00,296,11,8.6,Converted,1,49.0,1,Jan
177,Social Media,Mobile,East,Brand Awareness,25-34,2024-01-15 16:00:00,824,11,10.79,Bounced,0,0.0,1,Jan
178,Paid Search,Desktop,South,Product Launch,25-34,2024-01-15 18:00:00,31,2,10.9,Checkout,0,0.0,1,Jan
179,Referral,Mobile,North,Product Launch,35-44,2024-01-15 20:00:00,51,14,3.91,Bounced,0,0.0,1,Jan
180,Organic Search,Tablet,West,Lead Gen,45-54,2024-01-15 22:00:00,607,13,11.67,Checkout,0,0.0,1,Jan
181,Paid Search,Desktop,West,Lead Gen,35-44,2024-01-16 00:00:00,241,11,0.78,Product View,0,0.0,1,Jan
182,Organic Search,Mobile,East,Product Launch,45-54,2024-01-16 02:00:00,265,14,10.88,Converted,1,99.0,1,Jan
183,Referral,Desktop,West,Lead Gen,18-24,2024-01-16 04:00:00,558,10,1.98,Bounced,0,0.0,1,Jan
184,Referral,Tablet,West,Seasonal Offer,18-24,2024-01-16 06:00:00,417,3,11.08,Awareness,0,0.0,1,Jan
185,Organic Search,Mobile,West,Brand Awareness,45-54,2024-01-16 08:00:00,43,13,8.14,Product View,0,0.0,1,Jan
186,Social Media,Tablet,West,Product Launch,35-44,2024-01-16 10:00:00,548,7,6.84,Converted,1,99.0,1,Jan
187,Email,Mobile,North,Brand Awareness,35-44,2024-01-16 12:00:00,876,2,10.51,Awareness,0,0.0,1,Jan
188,Social Media,Desktop,East,Seasonal Offer,18-24,2024-01-16 14:00:00,251,1,1.03,Product View,0,0.0,1,Jan
189,Social Media,Tablet,South,Lead Gen,25-34,2024-01-16 16:00:00,645,9,3.74,Bounced,0,0.0,1,Jan
190,Organic Search,Desktop,West,Retargeting,35-44,2024-01-16 18:00:00,432,6,9.44,Bounced,0,0.0,1,Jan
191,Organic Search,Desktop,North,Seasonal Offer,45-54,2024-01-16 20:00:00,542,9,12.78,Bounced,0,0.0,1,Jan
192,Referral,Mobile,East,Retargeting,55+,2024-01-16 22:00:00,316,12,6.03,Bounced,0,0.0,1,Jan
193,Referral,Mobile,South,Brand Awareness,35-44,2024-01-17 00:00:00,413,3,4.25,Converted,1,499.0,1,Jan
194,Social Media,Tablet,East,Product Launch,35-44,2024-01-17 02:00:00,276,3,8.02,Product View,0,0.0,1,Jan
195,Paid Search,Desktop,North,Lead Gen,45-54,2024-01-17 04:00:00,120,10,9.52,Checkout,0,0.0,1,Jan
196,Paid Search,Mobile,North,Seasonal Offer,35-44,2024-01-17 06:00:00,855,12,6.59,Converted,1,499.0,1,Jan
197,Email,Mobile,North,Lead Gen,35-44,2024-01-17 08:00:00,341,3,13.21,Bounced,0,0.0,1,Jan
198,Referral,Desktop,West,Retargeting,55+,2024-01-17 10:00:00,466,2,8.09,Converted,1,99.0,1,Jan
199,Referral,Desktop,North,Retargeting,45-54,2024-01-17 12:00:00,755,13,1.02,Bounced,0,0.0,1,Jan
200,Email,Desktop,South,Product Launch,55+,2024-01-17 14:00:00,72,11,3.73,Awareness,0,0.0,1,Jan
201,Social Media,Desktop,West,Retargeting,25-34,2024-01-17 16:00:00,103,6,7.03,Product View,0,0.0,1,Jan
202,Organic Search,Tablet,East,Product Launch,35-44,2024-01-17 18:00:00,783,3,10.62,Converted,1,49.0,1,Jan
203,Organic Search,Mobile,South,Seasonal Offer,45-54,2024-01-17 20:00:00,590,5,3.69,Converted,1,249.0,1,Jan
204,Referral,Mobile,West,Product Launch,18-24,2024-01-17 22:00:00,345,13,14.66,Converted,1,149.0,1,Jan
205,Social Media,Tablet,North,Retargeting,45-54,2024-01-18 00:00:00,763,11,5.12,Awareness,0,0.0,1,Jan
206,Organic Search,Desktop,East,Brand Awareness,25-34,2024-01-18 02:00:00,891,5,8.22,Product View,0,0.0,1,Jan
207,Organic Search,Mobile,North,Product Launch,45-54,2024-01-18 04:00:00,173,10,0.78,Awareness,0,0.0,1,Jan
208,Social Media,Desktop,South,Lead Gen,35-44,2024-01-18 06:00:00,358,3,13.33,Bounced,0,0.0,1,Jan
209,Organic Search,Mobile,South,Brand Awareness,25-34,2024-01-18 08:00:00,238,3,11.94,Checkout,0,0.0,1,Jan
210,Organic Search,Desktop,West,Product Launch,25-34,2024-01-18 10:00:00,128,1,3.33,Converted,1,99.0,1,Jan
211,Social Media,Tablet,South,Lead Gen,35-44,2024-01-18 12:00:00,729,6,14.03,Bounced,0,0.0,1,Jan
212,Social Media,Desktop,East,Brand Awareness,35-44,2024-01-18 14:00:00,143,3,5.08,Product View,0,0.0,1,Jan
213,Social Media,Desktop,West,Product Launch,25-34,2024-01-18 16:00:00,204,1,10.54,Product View,0,0.0,1,Jan
214,Organic Search,Mobile,East,Seasonal Offer,45-54,2024-01-18 18:00:00,300,13,12.38,Bounced,0,0.0,1,Jan
215,Social Media,Desktop,North,Lead Gen,35-44,2024-01-18 20:00:00,92,14,11.24,Bounced,0,0.0,1,Jan
216,Organic Search,Mobile,East,Seasonal Offer,35-44,2024-01-18 22:00:00,825,14,13.8,Bounced,0,0.0,1,Jan
217,Paid Search,Desktop,East,Retargeting,18-24,2024-01-19 00:00:00,433,13,13.03,Converted,1,99.0,1,Jan
218,Email,Mobile,South,Product Launch,55+,2024-01-19 02:00:00,254,10,14.92,Product View,0,0.0,1,Jan
219,Social Media,Desktop,North,Product Launch,25-34,2024-01-19 04:00:00,190,9,3.15,Converted,1,99.0,1,Jan
220,Email,Desktop,South,Lead Gen,35-44,2024-01-19 06:00:00,65,11,4.92,Bounced,0,0.0,1,Jan
221,Social Media,Desktop,North,Product Launch,45-54,2024-01-19 08:00:00,410,1,9.73,Checkout,0,0.0,1,Jan
